laboratorio_titular,nombre_comercial,nombre_generico,concentracion,forma_farmaceutica,presentacion
CELNOVA ARGENTINA S.A.,GEFINOVA,GEFITINIB,250 MG,COMPRIMIDO RECUBIERTO,30 COMPRIMIDOS RECUBIERTOS
CELNOVA ARGENTINA S.A.,CAPECINOVA,CAPECITABINA,500 MG,COMPRIMIDO RECUBIERTO,120 COMPRIMIDOS RECUBIERTOS
CELNOVA ARGENTINA S.A.,LENALINOVA,LENALIDOMIDA,15 MG,CÁPSULA DURA,21 CÁPSULAS DURAS
CELNOVA ARGENTINA S.A.,LENALINOVA,LENALIDOMIDA,5 MG,CÁPSULA DURA,21 CÁPSULAS DURAS
CRAVERI S.A.I.C.,DIOSMIN,"FRACCION FLAVONOIDE PURIFICADA Y MICRONIZADA (DIOSMINA 90 %, FLAVONOIDES EXPRESADOS EN HESPERIDINA 10 %)",1000 MG,POLVO GRANULADO PARA SUSPENSIÓN ORAL,30 SOBRES por 5 G
DAXLEY ARGENTINA S.A.,ORFADIN,NITISINONA,5 MG,CÁPSULA DURA,60 CÁPSULAS DURAS
DAXLEY ARGENTINA S.A.,ORFADIN,NITISINONA,10 MG,CÁPSULA DURA,60 CÁPSULAS DURAS
DAXLEY ARGENTINA S.A.,ORFADIN,NITISINONA,20 MG,CÁPSULA DURA,60 CÁPSULAS DURAS
DR LAZAR Y CIA S.A.Q. E I.,DIPEMINA,"FRACCION FLAVONOIDE PURIFICADA Y MICRONIZADA (DIOSMINA 90 %, FLAVONOIDES EXPRESADOS EN HESPERIDINA 10 %)",1000 MG,POLVO GRANULADO PARA SUSPENSIÓN,30 SOBRES por 5 G
FECOFAR COOP.LTDA.,BUCASMOL A,BENZOCAINA - TIROTRICINA,"1 G/ 100ML - 0,0 5 G/ 100ML",SPRAY BUCAL,1 FRASCO por 45 ML
FECOFAR COOP.LTDA.,ALERGITRAT L,LORATADINA,10 MG,CÁPSULA BLANDA,7 CÁPSULAS BLANDAS
FECOFAR COOP.LTDA.,EQUITONE,TADALAFILO,5 MG,COMPRIMIDO RECUBIERTO,30 COMPRIMIDOS RECUBIERTOS
FECOFAR COOP.LTDA.,EQUITONE,TADALAFILO,20 MG,COMPRIMIDO RECUBIERTO,2 COMPRIMIDOS RECUBIERTOS
GADOR S.A.,ALZETIX 7/10,MEMANTINA CLORHIDRATO - DONEPEZILO CLORHIDRATO,7 MG -10 MG,CÁPSULA CON MICROGRANULOS DE LIBERACIÓN PROLONGADA,30 CAPSULAS CON MICROGRANULOS DE LIBERACIÓN PROLONGADA
GADOR S.A.,ALZETIX 21/10,MEMANTINA CLORHIDRATO - DONEPEZILO CLORHIDRATO,21 MG - 10 MG,CÁPSULA CON MICROGRANULOS DE LIBERACIÓN PROLONGADA,30 CAPSULAS CON MICROGRANULOS DE LIBERACIÓN PROLONGADA
GEMABIOTECH S.A.U.,HEMASTIM P,ERITROPOYETINA HUMANA RECOMBINANTE,2000 UI,POLVO LIOFILIZADO INYECTABLE,1 FRASCO AMPOLLA por 2000 UI + 1 AMPOLLA CON SOLVENTE
GEMABIOTECH S.A.U.,HEMASTIM P,ERITROPOYETINA HUMANA RECOMBINANTE,2000 UI,POLVO LIOFILIZADO INYECTABLE,25 FRASCO AMPOLLA por 2000 UI + 25 AMPOLLA CON SOLVENTE (U.H.)
GEMABIOTECH S.A.U.,HEMASTIM P,ERITROPOYETINA HUMANA RECOMBINANTE,10000 UI,POLVO LIOFILIZADO INYECTABLE,1 FRASCO AMPOLLA por 10000 UI + 1 AMPOLLA CON SOLVENTE
GEMEPE S.A.,MORFINA GEMEPE,CLORHIDRATO DE MORFINA,10 MG/ML,SOLUCIÓN INYECTABLE,100 AMPOLLAS por 1 ML (U.H.)
GOBBI NOVAG S.A.,DIMALAN,BICALUTAMIDA,50 MG,COMPRIMIDO,28 COMPRIMIDOS
GRAMON MILLET S.A.,IBUMEJORAL NIÑOS 2%,IBUPROFENO,2 G/ 100 ML,SUSPENSIÓN ORAL,1 FRASCO por 90 ML
GRAMON MILLET S.A.,MEJORAL PARA NIÑOS,PARACETAMOL,80 MG,COMPRIMIDO MASTICABLE,20 COMPRIMIDOS MASTICABLES
JANSSEN CILAG FARMACEUTICA S.A.,ZAVESCA,MIGLUSTAT,100 MG,CÁPSULA DURA,90 CÁPSULAS DURAS
LABORATORIO DOMINGUEZ S.A.,MISOP 200,MISOPROSTOL,200 MCG,COMPRIMIDO RANURADO VAGINAL,12 COMPRIMIDOS
LABORATORIO VANNIER S.A.,TRAMAL LONG,TRAMADOL CLORHIDRATO,100 MG,COMPRIMIDO DE LIBERACIÓN PROLONGADA,10 COMPRIMIDOS DE LIBERACIÓN PROLONGADA
LABORATORIOS DUNCAN S.A.,MEBENDAZOL DUNCAN,MEBENDAZOL,2 G/ 100 ML,SUSPENSIÓN ORAL,100 FRASCOS por 30 ML (U.H.)
LABORATORIOS DUNCAN S.A.,CALCIO GLUCONATO AL 10%,CALCIO GLUCONATO,"0,1",INYECTABLE,100 AMPOLLAS por 10 ML (U.H.)
LABORATORIOS DUNCAN S.A.,CLONAZEPAM DUNCAN,CLONAZEPAM,"0,5 MG",COMPRIMIDO,30 COMPRIMIDOS
LABORATORIOS DUNCAN S.A.,CLONAZEPAM DUNCAN,CLONAZEPAM,2 MG,COMPRIMIDO,30 COMPRIMIDOS
LABORATORIOS MONSERRAT Y ECLAIR S.A.,GENTACLER,GENTAMICINA - HIDROCORTISONA ACETATO - KETOCONAZOL,"0,1 G% - 1 G% - 2 G%",CREMA,1 POMO por 20 G
LAFEDAR S.A.,GLUMET,METFORMINA,850 MG,COMPRIMIDO RECUBIERTO,30 COMPRIMIDOS RECUBIERTOS
LAFEDAR S.A.,GLUMET,METFORMINA,850 MG,COMPRIMIDO RECUBIERTO,60 COMPRIMIDOS RECUBIERTOS
LAFEDAR S.A.,GLUMET,METFORMINA,850 MG,COMPRIMIDO RECUBIERTO,1000 COMPRIMIDOS RECUBIERTOS (U.H.)
LAFEDAR S.A.,GLUMET,METFORMINA,1000 MG,COMPRIMIDO RECUBIERTO,30 COMPRIMIDOS RECUBIERTOS
LAFEDAR S.A.,GLUMET,METFORMINA,1000 MG,COMPRIMIDO RECUBIERTO,60 COMPRIMIDOS RECUBIERTOS
LAFEDAR S.A.,GLUMET,METFORMINA,1000 MG,COMPRIMIDO RECUBIERTO,100 COMPRIMIDOS RECUBIERTOS
LAFEDAR S.A.,COLISTYN,COLISTIMETATO SODICO ,160 MG / 4 ML,SOLUCIÓN PARA INHALAR,30 FRASCOS por 4 ML (U.H.)
LAFEDAR S.A.,TOFLAM,TOBRAMICINA - DEXAMETASONA,300 MG/ 100 ML - 100 MG/ 100 ML,SUSPENSIÓN OFTÁLMICA ESTÉRIL,1 FRASCO por 5 ML
LAFEDAR S.A.,TOFLAM,TOBRAMICINA - DEXAMETASONA,300 MG/ 100 ML - 100 MG/ 100 ML,SUSPENSIÓN OFTÁLMICA ESTÉRIL,25 FRASCOS por 5 ML (U.H.)
MUNDIPHARMA PHARMACEUTICALS ARGENTINA S.R.L.,FLUTIFORM,PROPIONATO DE FLUTICASONA - FUMARATO DE FORMOTEROL DIHIDRATADO,125 MCG / PULSACION - 5 MCG / PULSACION,SUSPENSIÓN PARA INHALAR EN AEROSOL,1 FRASCO por 120 DOSIS
MUNDIPHARMA PHARMACEUTICALS ARGENTINA S.R.L.,FLUTIFORM,PROPIONATO DE FLUTICASONA - FUMARATO DE FORMOTEROL DIHIDRATADO,250 MCG / PULSACION - 10 MCG / PULSACION,,
;SUSPENSIÓN PARA INHALAR EN AEROSOL;1 FRASCO por 120 DOSIS,,,,,
NOVARTIS ARGENTINA S.A.,SIMBRINZA,BRIMONIDINA - BRINZOLAMIDA,"1,3 MG/ML – 10 MG/ML",SUSPENSIÓN OFTÁLMICA ESTÉRIL,1 FRASCO por 5 ML
NOVARTIS ARGENTINA S.A.,REVOLADE,ELTROMBOPAG,50 MG,COMPRIMIDO RECUBIERTO,28 COMPRIMIDOS RECUBIERTOS
ORIENTAL FARMACEUTICA  I.C. E I.S.A.,BOSENTAC,BOSENTAN,"62,5 MG",COMPRIMIDO RECUBIERTO,60 COMPRIMIDOS RECUBIERTOS
ORIENTAL FARMACEUTICA  I.C. E I.S.A.,BOSENTAC,BOSENTAN,125 MG,COMPRIMIDO RECUBIERTO,60 COMPRIMIDOS RECUBIERTOS
PANALAB S.A. ARGENTINA,PANALER,HIDROXIZINA CLORHIDRATO,10 MG,COMPRIMIDO RECUBIERTO,20 COMPRIMIDOS RECUBIERTOS
PANALAB S.A. ARGENTINA,PANALER,HIDROXIZINA CLORHIDRATO,25 MG,COMPRIMIDO RECUBIERTO,20 COMPRIMIDOS RECUBIERTOS
PANALAB S.A. ARGENTINA,PANALER,HIDROXIZINA CLORHIDRATO,50 MG,COMPRIMIDO RECUBIERTO,20 COMPRIMIDOS RECUBIERTOS
PHARMADORF S.A.,FOLINEMIC,ACIDO FOLICO,1 MG,COMPRIMIDO,30 COMPRIMIDOS
ROSPAW S.R.L.,LUPRACIL,DONEPEZILO CLORHIDRATO,5 MG,COMPRIMIDO RECUBIERTO,30 COMPRIMIDOS RECUBIERTOS
ROSPAW S.R.L.,LUPRACIL,DONEPEZILO CLORHIDRATO,5 MG,COMPRIMIDO RECUBIERTO,60 COMPRIMIDOS RECUBIERTOS
ROSPAW S.R.L.,LUPRACIL,DONEPEZILO CLORHIDRATO,10 MG,COMPRIMIDO RECUBIERTO,30 COMPRIMIDOS RECUBIERTOS
ROSPAW S.R.L.,LUPRACIL,DONEPEZILO CLORHIDRATO,10 MG,COMPRIMIDO RECUBIERTO,60 COMPRIMIDOS RECUBIERTOS
ROSSMORE PHARMA S.A.,TANESA,POLIETILENGLICOL 3350,17 G,POLVO PARA SUSPENSIÓN ORAL,14 SOBRES por 17 G
ROSSMORE PHARMA S.A.,TANESA,POLIETILENGLICOL 3350,17 G,POLVO PARA SUSPENSIÓN ORAL,28 SOBRES por 17 G
TRB PHARMA S.A.,KETOROLAC TRB PHARMA,KETOROLACO TROMETAMINA,20 MG,COMPRIMIDO,510 COMPRIMIDOS (U.H.)
TUTEUR S.A.C.I.F.I.A,VILANOR,IBRUTINIB,140 MG,CÁPSULA DURA,90 CÁPSULAS DURAS
